,,277,47,85,250,130,當季精選,Specialty,青仁黑豆茶, Black Bean,-,-,,,,,,,
'圓石' August, 2014,279,47,95,,,印尼 蘇門答臘,Indonesia Sumatra ,林東曼特寧 三次手選,Lintong Mandheling TP,半水洗,Giling Basah,G1,油脂感濃郁回甘，藥草香的苦甜味明顯，餘味的焦糖甜感持續甚久，還有黑巧克力、橙皮、梨子等特性,,,,,
'圓石' August, 2014,279,47,95,,,印度,India,麥索金磚,Mysore Nuggets Extra Bold,水洗,Washed,,焙炒堅果 木質茶感 焦糖糖漿 香料 油脂感,,,,,
'圓石' August, 2014,368,62,120,,,巴拿馬,Panama,哈特曼莊園 ,Finca Hartmann,蜜處理,Honey,,蜂蜜甜  龍眼乾  可可 薄荷 香橙 ,,,,,
興田 August, 2014,295,50,100,,,尼加拉瓜 ,Nicaragua,卡梅莉亞  山茶花莊園, Las Camelias  EP,水洗,Washed,SHB ,玄米茶香、焦糖、核桃、年輕松木、低酸度。,,,,,
興田 August, 2014,300,50,100,,,宏都拉斯,Honduras,錫瓜特佩克合作社  獵豹,Siguatepeque El Jaguar ,水洗,Washed,,香料、薄荷牛奶、玉米甜、堅果、焦糖、口感輕順溫和。,,,,,
興田 August, 2014,350,59,115,,,祕魯 ,Peru,北部高地 有機&熱帶雨林認證,Norte Organic & RFA,水洗,Washed,SHB ,堅果、焦糖甜感、奶油滑順、溫和清新、口感平衡。,,,,,
興田 August, 2014,350,59,115,,,瓜地馬拉,Guatemala ,安提瓜火山 聖多明哥城,Antigua Santo Domingo,水洗,Washed,SHB ,堅果、奶油、焦糖、甜檸檬、甜感圓潤,,,,,
興田 August, 2014,380,64,125,,,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,阿洛莫合作社,Aramo Coop G1,水洗,Washed,G1,花香、新鮮青蘋果般的生豆香氣、檸檬、甜橙、蜂蜜、厚實的甜感與紮實度。,Coffee Review 93 ,,,,
同好 August, 2014,480,80,150,,,盧安達,Rwanda,卡隆基區 基特西處理廠,Karongi Gitesi,水洗,Washed,,豆蔻、焦糖奶油、粗糖、大吉嶺紅茶、花香,,,,,
同好 August, 2014,460,77,145,,,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,王道,Wondo -Haraicho Station,水洗,Washed,G1,蜂蜜燕麥餅乾、茉莉花茶、成熟水果、奶油糖果、花香、伯爵茶,,,,,
'圓石' September, 2014,285,48,95,,,烏干達,Uganda,汐碧瀑布  雨林認證, RFA Org Certified - Sipi Falls,水洗,Washed,,In the aroma, blueberry and other fruits are present, with hints of spice, vanilla, and coconut. ,,,,,
'圓石' September, 2014,395,66,130,,,尼加拉瓜 ,Nicaragua,安納雅碧  馬拉卡杜拉種 ,Ana Maria Albir Maracaturra ,蜜處理,Honey, 微批次,,,,,,
